"","x"
"224",1.84340023304462
"225",1.60050945266186
"226",1.89816869176849
"227",1.99929391978586
"228",1.65368238554874
"229",1.67017334811618
"230",1.54133702619074
"231",1.43467907863241
"232",1.54344154495114
"233",1.52431929930495
"234",1.00898477179638
"235",0.9023398242107
"236",1.0933675439387
"237",1.11558042279052
"238",0.976657397288798
"239",1.14719070550376
"240",1.31168340513069
"241",1.20962327459812
"242",1.55849531148066
"243",1.55530876015176
"244",1.43463240018577
"245",1.38831364287159
"246",1.12765579871397
"247",1.29236062131723
"248",1.23000504235458
"249",1.33603190245326
"250",1.52376320553301
"251",1.24968083355844
"252",1.23518879276797
"253",1.29095223396393
"254",1.25178875347169
"255",1.32520451478329
"256",1.30312226099473
"257",1.23258109006149
"258",0.967483142559774
"259",0.89101951778071
"260",1.02579302503507
"261",0.969953474295063
"262",0.967954916320383
"263",0.974051884762355
"264",0.941933885236992
"265",1.03592089242354
"266",0.795865270824568
"267",0.558739103432294
"268",0.458962304930733
"269",0.401602465378397
"270",0.297662519883877
"271",-0.438262770316006
"272",-0.355798540566639
"273",-0.387686301679715
"274",-0.291966787635937
"275",-0.357217957949812
"276",-0.148018026346949
"277",-0.383707923983679
"278",-0.172765473749019
"279",-0.0355963392927591
"280",0.0304744261106492
"281",-0.0603599652110834
"282",0.111968835572794
"283",-0.387070406473619
"284",-0.434818345674513
"285",-0.254946081854952
"286",-0.292106280891164
"287",-0.448396330094432
"288",-0.489135507222178
