,wag,rt,emp,loa,car,pi,cpi,wibor_on,wibor_1m,reer,all_com_pri_ind,m3,pi_ea,pi_germany,oil
2000-05-01,2019.818758961,185.090792584,5292.487892521,163672.116514593,12.380058977,59.237464564,116.46878458,14.53,18.14,92.693064620038,62.4904343378138,277093.225774931,100.7,91.1,27.74
2000-06-01,2054.536339218,188.190419426,5287.668122425,175386.217646774,12.498573339,60.060983292,117.62919943,17.34,18.12,91.545635466909,64.6188399133455,292252.184186044,99.3,88.7,29.8
2000-07-01,2049.066222306,184.786567612,5278.930960837,169098.602299793,12.602379514,59.409505714,119.133459101,17.51,18.05,94.4751917131369,63.0474892141891,284969.770977789,100.5,90.8,28.68
2000-08-01,2080.632572248,183.577186028,5267.812996545,172377.763891279,12.70561693,59.489598423,119.413670582,17.23,18.29,96.000498816348,63.9552639634001,285335.412673295,100.5,91.4,30.2
2000-09-01,2097.016507307,183.065859938,5264.435504792,174194.283147819,12.790237735,59.944718312,120.25032392,18,19.39,96.8646032275678,67.2172727155894,289754.076919434,100.7,91.5,33.14
2000-10-01,2104.780004559,180.904532771,5256.288845273,176536.963455314,12.873166323,59.486481043,121.022453643,19.49,19.46,95.9793301615108,66.1526420764811,295229.2606536,100.8,91.2,30.96
2000-11-01,2114.353650517,182.46322632,5239.539967403,177378.687781157,13.078192292,59.716100791,121.558474042,18.83,19.64,97.9214593215862,66.9502544464832,299294.002830434,101.8,91.6,32.55
2000-12-01,2134.965678868,183.698983281,5223.936598622,179070.989021677,13.255492933,61.078200672,121.858804688,18.8,19.84,99.2225090846845,61.0691512760441,297743.119801656,102.5,92.1,25.66
2001-01-01,2139.82313623,176.49156693,5199.592160222,181238.52265143,13.4374409,59.479316041,122.122692616,20.38,19.44,101.38748058126,61.8779594650662,299821.013016279,101.5,91.7,25.62
2001-02-01,2145.596480132,173.838389394,5192.627863432,184028.329510337,13.685919679,59.189417803,122.230121674,20.24,19.33,103.193491428568,62.4714525232929,303848.953607671,101.9,92.7,27.5
2001-03-01,2165.242687074,174.034032541,5172.083609652,185904.706175646,13.913319151,59.700045678,122.745132998,19.41,18.37,105.483672288264,60.3348537045837,309549.234221843,101.3,91.5,24.5
2001-04-01,2173.919865066,177.765415677,5154.893261935,187363.797364613,14.170951662,59.652797609,123.488379888,18.56,17.44,108.461356639379,61.1564028957266,311489.887552266,100.4,90.4,25.66
2001-05-01,2196.418665723,178.391837186,5135.603900881,189098.410602666,14.118785735,59.428914389,124.755738941,17.93,17.5,111.862302100734,63.3476134922898,313218.376978296,100.8,91.2,28.31
2001-06-01,2180.470604232,176.096032774,5113.754975876,190278.385870139,14.071247088,58.317182178,124.915558696,17.57,17.38,114.100606901563,62.4200832889962,315374.855780768,100.7,91.2,27.85
2001-07-01,2208.974411314,175.560951193,5091.949130573,191144.991122177,14.008501695,58.836753562,125.183291997,15.57,16.14,106.781161799743,59.5870925334241,321632.227071208,99,88.9,24.61
2001-08-01,2213.842201607,176.88456036,5070.697153452,191982.289561208,14.340357486,59.931419209,125.459453587,17.03,15.73,101.330662654517,59.7980917554194,325103.488330883,101.3,91.2,25.68
